name,parameters,memory,cpu_time,elapsed_time,sum_occurrences,occurrences,degree_of_monomials,length_of_counter,total_count,entropy,counter_string
Treatment/transcendence_108_entropy_heuristic.mpl,"[N, g]",25724000,0.17,0.18,31.000000,"[g = 7, N = 24]",74.000000,77.000000,134.000000,-4.223812,"9,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_38_entropy_heuristic.mpl,"[In_2, N]",23804000,0.22,0.19,32.000000,"[In_2 = 11, N = 21]",83.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_99_entropy_heuristic.mpl,"[N, S_0]",25732000,0.21,0.2,46.000000,"[S_0 = 22, N = 24]",137.000000,83.000000,134.000000,-4.305409,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_104_entropy_heuristic.mpl,"[N, S_5]",23972000,0.26,0.2,26.000000,"[N = 24, S_5 = 2]",67.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_105_entropy_heuristic.mpl,"[N, a]",23868000,0.23,0.2,24.000000,"[a = 0, N = 24]",60.000000,78.000000,134.000000,-4.253682,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_31_entropy_heuristic.mpl,"[In_1, b]",25884000,0.24,0.2,76.000000,"[b = 63, In_1 = 13]",262.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_115_entropy_heuristic.mpl,"[S_0, b]",25848000,0.22,0.2,72.000000,"[S_0 = 22, b = 50]",252.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_136_entropy_heuristic.mpl,"[S_3, b]",23776000,0.22,0.2,73.000000,"[S_3 = 11, b = 62]",254.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_7_entropy_heuristic.mpl,"[In_0, N]",23624000,0.20,0.21,36.000000,"[In_0 = 14, N = 22]",95.000000,83.000000,134.000000,-4.305409,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_73_entropy_heuristic.mpl,"[In_4, b]",23904000,0.27,0.21,76.000000,"[b = 69, In_4 = 7]",262.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_60_entropy_heuristic.mpl,"[In_3, b]",23912000,0.27,0.21,76.000000,"[In_3 = 9, b = 67]",262.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_15_entropy_heuristic.mpl,"[In_0, b]",25984000,0.26,0.21,75.000000,"[In_0 = 14, b = 61]",260.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_152_entropy_heuristic.mpl,"[b, g]",23788000,0.20,0.21,85.000000,"[b = 72, g = 13]",284.000000,84.000000,134.000000,-4.315755,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_96_entropy_heuristic.mpl,"[In_6, b]",26028000,0.31,0.21,74.000000,"[b = 72, In_6 = 2]",256.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_148_entropy_heuristic.mpl,"[a, b]",23880000,0.24,0.21,78.000000,"[a = 6, b = 72]",270.000000,84.000000,134.000000,-4.315755,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_151_entropy_heuristic.mpl,"[b, d]",25752000,0.23,0.21,72.000000,"[b = 72, d = 0]",252.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_123_entropy_heuristic.mpl,"[S_1, b]",23740000,0.22,0.21,73.000000,"[b = 54, S_1 = 19]",254.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_101_entropy_heuristic.mpl,"[N, S_2]",25960000,0.35,0.21,38.000000,"[S_2 = 14, N = 24]",109.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_106_entropy_heuristic.mpl,"[N, b]",25960000,0.24,0.21,96.000000,"[b = 72, N = 24]",312.000000,83.000000,134.000000,-4.305409,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_145_entropy_heuristic.mpl,"[S_5, b]",25796000,0.21,0.21,73.000000,"[b = 70, S_5 = 3]",254.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_141_entropy_heuristic.mpl,"[S_4, b]",25292000,0.33,0.22,73.000000,"[b = 66, S_4 = 7]",254.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_88_entropy_heuristic.mpl,"[In_6, N]",23880000,0.39,0.22,25.000000,"[In_6 = 2, N = 23]",62.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_85_entropy_heuristic.mpl,"[In_5, b]",25992000,0.28,0.22,76.000000,"[In_5 = 5, b = 71]",262.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_77_entropy_heuristic.mpl,"[In_5, N]",25720000,0.20,0.22,26.000000,"[In_5 = 5, N = 21]",65.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_102_entropy_heuristic.mpl,"[N, S_3]",23936000,0.34,0.22,34.000000,"[S_3 = 10, N = 24]",95.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_103_entropy_heuristic.mpl,"[N, S_4]",25988000,0.39,0.22,30.000000,"[N = 24, S_4 = 6]",81.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_52_entropy_heuristic.mpl,"[In_3, N]",25708000,0.20,0.22,30.000000,"[In_3 = 9, N = 21]",77.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_46_entropy_heuristic.mpl,"[In_2, b]",23888000,0.37,0.22,76.000000,"[In_2 = 11, b = 65]",262.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_23_entropy_heuristic.mpl,"[In_1, N]",23720000,0.30,0.22,34.000000,"[N = 21, In_1 = 13]",89.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_130_entropy_heuristic.mpl,"[S_2, b]",25688000,0.19,0.22,73.000000,"[S_2 = 15, b = 58]",254.000000,89.000000,134.000000,-4.367482,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_100_entropy_heuristic.mpl,"['[N, S_1]']",27788000,0.38,0.23,42.000000,"[N = 24, S_1 = 18]",123.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_107_entropy_heuristic.mpl,"[N, d]",24232000,0.64,0.24,60.000000,"[N = 24, d = 36]",204.000000,83.000000,134.000000,-4.305409,"9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Treatment/transcendence_65_entropy_heuristic.mpl,"[In_4, N]",25664000,0.20,0.24,28.000000,"[N = 21, In_4 = 7]",71.000000,82.000000,134.000000,-4.281149,"10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
